cluster_id,size,samples
0,482,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 21, 22, 23, 24, 25, 28, 29, 30, 31, 32, 34, 35, 41, 43, 44, 45, 46, 47, 49, 50, 51, 52, 53, 54, 56, 57, 58, 60, 62, 63, 64, 65, 66, 67, 68, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 83, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 97, 100, 101, 102, 104, 105, 106, 107, 108, 109, 110, 111, 112, 113, 114, 115, 116, 117, 118, 119, 120, 121, 122, 123, 124, 125, 126, 127, 128, 129, 131, 132, 133, 134, 136, 137, 138, 139, 140, 141, 142, 143, 144, 145, 146, 147, 148, 149, 150, 151, 152, 153, 155, 156, 157, 158, 160, 161, 165, 166, 167, 168, 169, 170, 172, 173, 174, 175, 176, 177, 178, 179, 180, 181, 182, 183, 184, 185, 186, 187, 188, 189, 190, 191, 192, 193, 194, 195, 196, 200, 203, 204, 206, 210, 221, 225, 229, 230, 231, 232, 237, 239, 241, 244, 246, 248, 249, 252, 253, 254, 255, 256, 258, 259, 261, 264, 265, 266, 267, 268, 270, 273, 275, 276, 277, 278, 279, 280, 281, 282, 283, 284, 285, 287, 288, 289, 290, 291, 292, 293, 294, 295, 296, 297, 298, 299, 301, 302, 303, 304, 305, 306, 307, 308, 309, 311, 314, 317, 318, 320, 321, 322, 323, 324, 325, 326, 327, 328, 329, 330, 331, 332, 333, 335, 336, 337, 338, 339, 340, 341, 342, 343, 344, 345, 346, 348, 349, 350, 351, 352, 353, 354, 355, 356, 357, 358, 359, 361, 362, 363, 364, 367, 371, 372, 373, 375, 378, 379, 380, 381, 382, 384, 385, 386, 388, 389, 391, 394, 395, 396, 397, 398, 399, 400, 401, 403, 404, 405, 406, 407, 408, 410, 411, 412, 413, 414, 417, 418, 419, 422, 423, 424, 425, 427, 430, 431, 432, 433, 434, 435, 436, 437, 438, 439, 440, 441, 442, 443, 444, 445, 446, 447, 448, 449, 450, 451, 452, 453, 454, 455, 456, 457, 458, 459, 460, 461, 462, 463, 465, 466, 467, 468, 470, 472, 473, 474, 475, 476, 477, 478, 479, 481, 482, 483, 484, 485, 487, 489, 491, 492, 494, 495, 496, 497, 498, 499, 500, 501, 502, 503, 504, 505, 506, 507, 508, 509, 512, 513, 514, 515, 518, 519, 520, 521, 522, 523, 524, 525, 526, 527, 528, 529, 530, 533, 534, 535, 536, 537, 538, 539, 540, 541, 542, 543, 544, 545, 546, 547, 549, 550, 552, 553, 554, 555, 556, 557, 558, 559, 560, 561, 562, 563, 565, 566, 568, 569, 572, 573, 579, 582, 583, 584, 585, 590, 591, 593, 594, 595, 596, 597, 598, 599, 600, 601, 602, 603, 604, 605, 606, 607, 608, 609, 610, 611, 612, 613, 614, 615, 616, 617, 618, 619, 620, 621, 622, 623]"
1,68,"[20, 99, 171, 197, 198, 199, 201, 202, 205, 207, 208, 209, 211, 212, 213, 214, 215, 216, 217, 218, 219, 220, 222, 223, 224, 226, 227, 228, 233, 234, 235, 238, 240, 242, 243, 245, 247, 250, 251, 257, 260, 262, 263, 269, 271, 272, 274, 480, 488, 493, 510, 516, 517, 531, 564, 567, 570, 571, 574, 575, 576, 577, 578, 581, 586, 587, 588, 589]"
2,68,"[0, 1, 33, 36, 37, 38, 39, 40, 42, 48, 55, 59, 61, 69, 82, 84, 85, 96, 98, 103, 130, 135, 154, 159, 162, 163, 286, 300, 310, 312, 313, 315, 316, 319, 347, 360, 365, 366, 368, 369, 370, 374, 376, 377, 383, 387, 392, 393, 402, 409, 415, 416, 420, 421, 426, 428, 429, 464, 469, 471, 486, 490, 511, 532, 548, 551, 580, 592]"
